"Year","Month","State","ATC_Classification","Scheme","Services","Benefits"
1996,January,NSW,Alimentary Tract and Metabolism,Normal Arrangements PBS,573159,17534889
1996,January,NSW,Alimentary Tract and Metabolism,Normal Arrangements RPBS,33412,900457
1996,January,NSW,Blood and Blood Forming Organs,Normal Arrangements PBS,94092,617434
1996,January,NSW,Blood and Blood Forming Organs,Normal Arrangements RPBS,6780,53605
1996,January,NSW,Cardiovascular System,Normal Arrangements PBS,1168800,27382367
1996,January,NSW,Cardiovascular System,Normal Arrangements RPBS,45315,1057442
1996,January,NSW,Dermatologicals,Normal Arrangements PBS,148011,1855081
1996,January,NSW,Dermatologicals,Normal Arrangements RPBS,13871,154641
1996,January,NSW,Genito Urinary System and Sex Hormones,Normal Arrangements PBS,219392,2650863
1996,January,NSW,Genito Urinary System and Sex Hormones,Normal Arrangements RPBS,1954,48575
1996,January,NSW,"Systemic Hormonal Preparations, excl. Sex Hormones",Normal Arrangements PBS,71269,627967
1996,January,NSW,"Systemic Hormonal Preparations, excl. Sex Hormones",Normal Arrangements RPBS,2917,26830
1996,January,NSW,General Anti-Infectives for Systemic Use,Normal Arrangements PBS,420775,5799000
1996,January,NSW,General Anti-Infectives for Systemic Use,Normal Arrangements RPBS,10091,141486
1996,January,NSW,Anti-Neoplastic and Immunomodulating Agents,Normal Arrangements PBS,19181,2886661
1996,January,NSW,Anti-Neoplastic and Immunomodulating Agents,Normal Arrangements RPBS,1474,425946
1996,January,NSW,Musculo-Skeletal System,Normal Arrangements PBS,243519,2748713
1996,January,NSW,Musculo-Skeletal System,Normal Arrangements RPBS,13045,142555
1996,January,NSW,Nervous System,Normal Arrangements PBS,770998,10667213
1996,January,NSW,Nervous System,Normal Arrangements RPBS,35390,443515
1996,January,NSW,Anti-Parasitic Products,Normal Arrangements PBS,24976,213993
1996,January,NSW,Anti-Parasitic Products,Normal Arrangements RPBS,1998,17686
1996,January,NSW,Respiratory System,Normal Arrangements PBS,405437,9010233
1996,January,NSW,Respiratory System,Normal Arrangements RPBS,22160,589362
1996,January,NSW,Sensory Organs,Normal Arrangements PBS,231352,2138846
1996,January,NSW,Sensory Organs,Normal Arrangements RPBS,14123,143180
1996,January,NSW,Various +,Normal Arrangements PBS,20305,1119105
1996,January,NSW,Various +,Normal Arrangements RPBS,4413,112733
1996,January,NSW,Other ++,Normal Arrangements PBS,23245,192374
1996,January,NSW,Other ++,Normal Arrangements RPBS,2850,71671
1996,January,VIC,Alimentary Tract and Metabolism,Normal Arrangements PBS,381546,11163593
1996,January,VIC,Alimentary Tract and Metabolism,Normal Arrangements RPBS,17375,453851
1996,January,VIC,Blood and Blood Forming Organs,Normal Arrangements PBS,69351,502451
1996,January,VIC,Blood and Blood Forming Organs,Normal Arrangements RPBS,4160,36569
1996,January,VIC,Cardiovascular System,Normal Arrangements PBS,752532,16720914
1996,January,VIC,Cardiovascular System,Normal Arrangements RPBS,24764,547028
1996,January,VIC,Dermatologicals,Normal Arrangements PBS,108761,1556463
1996,January,VIC,Dermatologicals,Normal Arrangements RPBS,6902,75290
1996,January,VIC,Genito Urinary System and Sex Hormones,Normal Arrangements PBS,137937,1647474
1996,January,VIC,Genito Urinary System and Sex Hormones,Normal Arrangements RPBS,738,15708
1996,January,VIC,"Systemic Hormonal Preparations, excl. Sex Hormones",Normal Arrangements PBS,47628,393028
1996,January,VIC,"Systemic Hormonal Preparations, excl. Sex Hormones",Normal Arrangements RPBS,1735,15028
1996,January,VIC,General Anti-Infectives for Systemic Use,Normal Arrangements PBS,299690,3994132
1996,January,VIC,General Anti-Infectives for Systemic Use,Normal Arrangements RPBS,5656,79992
1996,January,VIC,Anti-Neoplastic and Immunomodulating Agents,Normal Arrangements PBS,15263,2085674
1996,January,VIC,Anti-Neoplastic and Immunomodulating Agents,Normal Arrangements RPBS,614,141416
1996,January,VIC,Musculo-Skeletal System,Normal Arrangements PBS,154178,1723925
1996,January,VIC,Musculo-Skeletal System,Normal Arrangements RPBS,6815,73990
1996,January,VIC,Nervous System,Normal Arrangements PBS,544363,7732059
1996,January,VIC,Nervous System,Normal Arrangements RPBS,19291,232502
1996,January,VIC,Anti-Parasitic Products,Normal Arrangements PBS,15151,128053
1996,January,VIC,Anti-Parasitic Products,Normal Arrangements RPBS,1087,9545
1996,January,VIC,Respiratory System,Normal Arrangements PBS,297073,5843395
1996,January,VIC,Respiratory System,Normal Arrangements RPBS,12439,304494
1996,January,VIC,Sensory Organs,Normal Arrangements PBS,143325,1340204
1996,January,VIC,Sensory Organs,Normal Arrangements RPBS,6720,69323
1996,January,VIC,Various +,Normal Arrangements PBS,12916,658532
1996,January,VIC,Various +,Normal Arrangements RPBS,1920,50183
1996,January,VIC,Other ++,Normal Arrangements PBS,11945,101102
1996,January,VIC,Other ++,Normal Arrangements RPBS,896,25225
1996,January,QLD,Alimentary Tract and Metabolism,Normal Arrangements PBS,260298,7392071
1996,January,QLD,Alimentary Tract and Metabolism,Normal Arrangements RPBS,17024,447185
1996,January,QLD,Blood and Blood Forming Organs,Normal Arrangements PBS,41667,296917
1996,January,QLD,Blood and Blood Forming Organs,Normal Arrangements RPBS,3408,33794
1996,January,QLD,Cardiovascular System,Normal Arrangements PBS,484381,10913181
1996,January,QLD,Cardiovascular System,Normal Arrangements RPBS,21039,475566
1996,January,QLD,Dermatologicals,Normal Arrangements PBS,61431,712760
1996,January,QLD,Dermatologicals,Normal Arrangements RPBS,7025,76197
1996,January,QLD,Genito Urinary System and Sex Hormones,Normal Arrangements PBS,118942,1390019
1996,January,QLD,Genito Urinary System and Sex Hormones,Normal Arrangements RPBS,1093,29374
1996,January,QLD,"Systemic Hormonal Preparations, excl. Sex Hormones",Normal Arrangements PBS,33766,305467
1996,January,QLD,"Systemic Hormonal Preparations, excl. Sex Hormones",Normal Arrangements RPBS,1467,16914
1996,January,QLD,General Anti-Infectives for Systemic Use,Normal Arrangements PBS,202770,2915949
1996,January,QLD,General Anti-Infectives for Systemic Use,Normal Arrangements RPBS,5053,89723
1996,January,QLD,Anti-Neoplastic and Immunomodulating Agents,Normal Arrangements PBS,8374,1182112
1996,January,QLD,Anti-Neoplastic and Immunomodulating Agents,Normal Arrangements RPBS,490,122085
1996,January,QLD,Musculo-Skeletal System,Normal Arrangements PBS,107865,1197727
1996,January,QLD,Musculo-Skeletal System,Normal Arrangements RPBS,6054,66717
1996,January,QLD,Nervous System,Normal Arrangements PBS,398778,5862632
1996,January,QLD,Nervous System,Normal Arrangements RPBS,20978,278129
1996,January,QLD,Anti-Parasitic Products,Normal Arrangements PBS,12439,106715
1996,January,QLD,Anti-Parasitic Products,Normal Arrangements RPBS,936,8311
1996,January,QLD,Respiratory System,Normal Arrangements PBS,196249,4123134
1996,January,QLD,Respiratory System,Normal Arrangements RPBS,11463,305295
1996,January,QLD,Sensory Organs,Normal Arrangements PBS,108380,969125
1996,January,QLD,Sensory Organs,Normal Arrangements RPBS,6676,66496
1996,January,QLD,Various +,Normal Arrangements PBS,9608,508489
1996,January,QLD,Various +,Normal Arrangements RPBS,1838,52058
1996,January,QLD,Other ++,Normal Arrangements PBS,9359,78611
1996,January,QLD,Other ++,Normal Arrangements RPBS,1318,23595
1996,January,SA,Alimentary Tract and Metabolism,Normal Arrangements PBS,132138,3714402
1996,January,SA,Alimentary Tract and Metabolism,Normal Arrangements RPBS,6746,166190
1996,January,SA,Blood and Blood Forming Organs,Normal Arrangements PBS,23532,147492
1996,January,SA,Blood and Blood Forming Organs,Normal Arrangements RPBS,1424,9445
1996,January,SA,Cardiovascular System,Normal Arrangements PBS,251952,5741724
1996,January,SA,Cardiovascular System,Normal Arrangements RPBS,8476,185979
