"Year","Month","State","ATC_Classification","Scheme","Services","Benefits"
2011,January,NSW,Alimentary Tract and Metabolism,Normal Arrangements PBS,826840,30911190
2011,January,NSW,Alimentary Tract and Metabolism,Normal Arrangements RPBS,53637,1580555
2011,January,NSW,Blood and Blood Forming Organs,Normal Arrangements PBS,249148,8614578
2011,January,NSW,Blood and Blood Forming Organs,Special Arrangements PBS,679,686305
2011,January,NSW,Blood and Blood Forming Organs,Normal Arrangements RPBS,25137,809038
2011,January,NSW,Blood and Blood Forming Organs,Special Arrangements RPBS,156,138844
2011,January,NSW,Cardiovascular System,Normal Arrangements PBS,1882897,62274346
2011,January,NSW,Cardiovascular System,Special Arrangements PBS,412,1344976
2011,January,NSW,Cardiovascular System,Normal Arrangements RPBS,108581,3205991
2011,January,NSW,Cardiovascular System,Special Arrangements RPBS,18,57051
2011,January,NSW,Dermatologicals,Normal Arrangements PBS,91377,2454216
2011,January,NSW,Dermatologicals,Normal Arrangements RPBS,8302,180500
2011,January,NSW,Genito Urinary System and Sex Hormones,Normal Arrangements PBS,66834,2030712
2011,January,NSW,Genito Urinary System and Sex Hormones,Normal Arrangements RPBS,5286,282823
2011,January,NSW,"Systemic Hormonal Preparations, excl. Sex Hormones",Normal Arrangements PBS,87566,1658774
2011,January,NSW,"Systemic Hormonal Preparations, excl. Sex Hormones",Special Arrangements PBS,140,289533
2011,January,NSW,"Systemic Hormonal Preparations, excl. Sex Hormones",Normal Arrangements RPBS,4921,85044
2011,January,NSW,"Systemic Hormonal Preparations, excl. Sex Hormones",Special Arrangements RPBS,12,17017
2011,January,NSW,General Anti-Infectives for Systemic Use,Normal Arrangements PBS,352765,6645111
2011,January,NSW,General Anti-Infectives for Systemic Use,Special Arrangements PBS,1273,991541
2011,January,NSW,General Anti-Infectives for Systemic Use,Normal Arrangements RPBS,16374,253322
2011,January,NSW,General Anti-Infectives for Systemic Use,Special Arrangements RPBS,4,373
2011,January,NSW,Anti-Neoplastic and Immunomodulating Agents,Normal Arrangements PBS,55607,34983519
2011,January,NSW,Anti-Neoplastic and Immunomodulating Agents,Special Arrangements PBS,2907,6018864
2011,January,NSW,Anti-Neoplastic and Immunomodulating Agents,Normal Arrangements RPBS,1877,964037
2011,January,NSW,Anti-Neoplastic and Immunomodulating Agents,Special Arrangements RPBS,32,63935
2011,January,NSW,Musculo-Skeletal System,Normal Arrangements PBS,267862,8542740
2011,January,NSW,Musculo-Skeletal System,Special Arrangements PBS,406,188830
2011,January,NSW,Musculo-Skeletal System,Normal Arrangements RPBS,16944,609973
2011,January,NSW,Musculo-Skeletal System,Special Arrangements RPBS,32,14968
2011,January,NSW,Nervous System,Normal Arrangements PBS,991467,36102589
2011,January,NSW,Nervous System,Special Arrangements PBS,557,189654
