"Year","Month","State","ATC_Classification","Scheme","Services","Benefits"
2001,January,NSW,Alimentary Tract and Metabolism,Normal Arrangements PBS,640954,21043425
2001,January,NSW,Alimentary Tract and Metabolism,Normal Arrangements RPBS,63038,1831151
2001,January,NSW,Blood and Blood Forming Organs,Normal Arrangements PBS,142325,2431668
2001,January,NSW,Blood and Blood Forming Organs,Special Arrangements PBS,33,45204
2001,January,NSW,Blood and Blood Forming Organs,Normal Arrangements RPBS,23998,409858
2001,January,NSW,Blood and Blood Forming Organs,Special Arrangements RPBS,8,6764
2001,January,NSW,Cardiovascular System,Normal Arrangements PBS,1552868,43457095
2001,January,NSW,Cardiovascular System,Normal Arrangements RPBS,125463,3451602
2001,January,NSW,Dermatologicals,Normal Arrangements PBS,110617,2275629
2001,January,NSW,Dermatologicals,Normal Arrangements RPBS,16535,223713
2001,January,NSW,Genito Urinary System and Sex Hormones,Normal Arrangements PBS,200631,2950085
2001,January,NSW,Genito Urinary System and Sex Hormones,Normal Arrangements RPBS,7608,193839
2001,January,NSW,"Systemic Hormonal Preparations, excl. Sex Hormones",Normal Arrangements PBS,79071,736171
2001,January,NSW,"Systemic Hormonal Preparations, excl. Sex Hormones",Special Arrangements PBS,11,44461
2001,January,NSW,"Systemic Hormonal Preparations, excl. Sex Hormones",Normal Arrangements RPBS,6502,50158
2001,January,NSW,General Anti-Infectives for Systemic Use,Normal Arrangements PBS,334948,6017463
2001,January,NSW,General Anti-Infectives for Systemic Use,Normal Arrangements RPBS,19552,338035
2001,January,NSW,Anti-Neoplastic and Immunomodulating Agents,Normal Arrangements PBS,30261,8975965
2001,January,NSW,Anti-Neoplastic and Immunomodulating Agents,Special Arrangements PBS,85,134856
2001,January,NSW,Anti-Neoplastic and Immunomodulating Agents,Normal Arrangements RPBS,2874,1026380
2001,January,NSW,Anti-Neoplastic and Immunomodulating Agents,Special Arrangements RPBS,4,5009
2001,January,NSW,Musculo-Skeletal System,Normal Arrangements PBS,321334,11418767
2001,January,NSW,Musculo-Skeletal System,Special Arrangements PBS,77,33972
2001,January,NSW,Musculo-Skeletal System,Normal Arrangements RPBS,28486,1019283
2001,January,NSW,Musculo-Skeletal System,Special Arrangements RPBS,7,2825
2001,January,NSW,Nervous System,Normal Arrangements PBS,850497,18576304
2001,January,NSW,Nervous System,Special Arrangements PBS,222,58199
2001,January,NSW,Nervous System,Normal Arrangements RPBS,69954,1095257
2001,January,NSW,Anti-Parasitic Products,Normal Arrangements PBS,24720,213254
2001,January,NSW,Anti-Parasitic Products,Normal Arrangements RPBS,3585,31047
2001,January,NSW,Respiratory System,Normal Arrangements PBS,358959,10732080
2001,January,NSW,Respiratory System,Normal Arrangements RPBS,33534,1062437
2001,January,NSW,Sensory Organs,Normal Arrangements PBS,241523,3059550
2001,January,NSW,Sensory Organs,Normal Arrangements RPBS,33341,472539
2001,January,NSW,Various +,Normal Arrangements PBS,22009,1530288
2001,January,NSW,Various +,Special Arrangements PBS,1,87
2001,January,NSW,Various +,Normal Arrangements RPBS,4443,168093
2001,January,NSW,Other ++,Normal Arrangements PBS,11244,89633
2001,January,NSW,Other ++,Normal Arrangements RPBS,3294,158306
2001,January,VIC,Alimentary Tract and Metabolism,Normal Arrangements PBS,442243,13984621
2001,January,VIC,Alimentary Tract and Metabolism,Normal Arrangements RPBS,37814,1064010
2001,January,VIC,Blood and Blood Forming Organs,Normal Arrangements PBS,109899,1752003
2001,January,VIC,Blood and Blood Forming Organs,Special Arrangements PBS,26,28626
