"Year","Month","State","ATC_Classification","Scheme","Services","Benefits"
1997,January,NSW,Alimentary Tract and Metabolism,Normal Arrangements PBS,548285,17986794
1997,January,NSW,Alimentary Tract and Metabolism,Normal Arrangements RPBS,50528,1461976
1997,January,NSW,Blood and Blood Forming Organs,Normal Arrangements PBS,89935,691124
1997,January,NSW,Blood and Blood Forming Organs,Normal Arrangements RPBS,12067,107373
1997,January,NSW,Cardiovascular System,Normal Arrangements PBS,1126401,27279267
1997,January,NSW,Cardiovascular System,Normal Arrangements RPBS,80410,1951563
1997,January,NSW,Dermatologicals,Normal Arrangements PBS,131360,1935506
1997,January,NSW,Dermatologicals,Normal Arrangements RPBS,17895,197816
1997,January,NSW,Genito Urinary System and Sex Hormones,Normal Arrangements PBS,203312,2495187
1997,January,NSW,Genito Urinary System and Sex Hormones,Normal Arrangements RPBS,5025,108029
1997,January,NSW,"Systemic Hormonal Preparations, excl. Sex Hormones",Normal Arrangements PBS,63681,564138
1997,January,NSW,"Systemic Hormonal Preparations, excl. Sex Hormones",Normal Arrangements RPBS,4752,41482
1997,January,NSW,General Anti-Infectives for Systemic Use,Normal Arrangements PBS,338954,4999779
1997,January,NSW,General Anti-Infectives for Systemic Use,Normal Arrangements RPBS,14925,213285
1997,January,NSW,Anti-Neoplastic and Immunomodulating Agents,Normal Arrangements PBS,19080,3387881
1997,January,NSW,Anti-Neoplastic and Immunomodulating Agents,Normal Arrangements RPBS,2042,543421
1997,January,NSW,Musculo-Skeletal System,Normal Arrangements PBS,208419,2413468
1997,January,NSW,Musculo-Skeletal System,Normal Arrangements RPBS,18695,209516
1997,January,NSW,Nervous System,Normal Arrangements PBS,715718,9703300
1997,January,NSW,Nervous System,Normal Arrangements RPBS,54547,627045
1997,January,NSW,Anti-Parasitic Products,Normal Arrangements PBS,23189,204877
1997,January,NSW,Anti-Parasitic Products,Normal Arrangements RPBS,3095,27704
1997,January,NSW,Respiratory System,Normal Arrangements PBS,369549,8631721
1997,January,NSW,Respiratory System,Normal Arrangements RPBS,31060,875295
1997,January,NSW,Sensory Organs,Normal Arrangements PBS,201077,1881755
1997,January,NSW,Sensory Organs,Normal Arrangements RPBS,22736,233965
1997,January,NSW,Various +,Normal Arrangements PBS,18661,1112926
1997,January,NSW,Various +,Normal Arrangements RPBS,6109,190799
1997,January,NSW,Other ++,Normal Arrangements PBS,18115,150738
1997,January,NSW,Other ++,Normal Arrangements RPBS,3347,79147
1997,January,VIC,Alimentary Tract and Metabolism,Normal Arrangements PBS,382014,11828390
1997,January,VIC,Alimentary Tract and Metabolism,Normal Arrangements RPBS,28856,785240
1997,January,VIC,Blood and Blood Forming Organs,Normal Arrangements PBS,69397,643526
1997,January,VIC,Blood and Blood Forming Organs,Normal Arrangements RPBS,7463,69033
1997,January,VIC,Cardiovascular System,Normal Arrangements PBS,757889,17447261
1997,January,VIC,Cardiovascular System,Normal Arrangements RPBS,46317,1053187
1997,January,VIC,Dermatologicals,Normal Arrangements PBS,105147,1659740
1997,January,VIC,Dermatologicals,Normal Arrangements RPBS,9308,101855
1997,January,VIC,Genito Urinary System and Sex Hormones,Normal Arrangements PBS,133054,1624849
1997,January,VIC,Genito Urinary System and Sex Hormones,Normal Arrangements RPBS,2211,38689
1997,January,VIC,"Systemic Hormonal Preparations, excl. Sex Hormones",Normal Arrangements PBS,44904,380338
1997,January,VIC,"Systemic Hormonal Preparations, excl. Sex Hormones",Normal Arrangements RPBS,3019,24930
1997,January,VIC,General Anti-Infectives for Systemic Use,Normal Arrangements PBS,273806,3882915
1997,January,VIC,General Anti-Infectives for Systemic Use,Normal Arrangements RPBS,9495,141652
1997,January,VIC,Anti-Neoplastic and Immunomodulating Agents,Normal Arrangements PBS,15774,2714930
1997,January,VIC,Anti-Neoplastic and Immunomodulating Agents,Normal Arrangements RPBS,981,215126
1997,January,VIC,Musculo-Skeletal System,Normal Arrangements PBS,137203,1568251
1997,January,VIC,Musculo-Skeletal System,Normal Arrangements RPBS,10408,115845
1997,January,VIC,Nervous System,Normal Arrangements PBS,533511,7273358
1997,January,VIC,Nervous System,Normal Arrangements RPBS,32721,368405
1997,January,VIC,Anti-Parasitic Products,Normal Arrangements PBS,14569,124365
1997,January,VIC,Anti-Parasitic Products,Normal Arrangements RPBS,1826,15988
1997,January,VIC,Respiratory System,Normal Arrangements PBS,273128,5814806
1997,January,VIC,Respiratory System,Normal Arrangements RPBS,17883,480382
1997,January,VIC,Sensory Organs,Normal Arrangements PBS,131483,1236483
1997,January,VIC,Sensory Organs,Normal Arrangements RPBS,11870,124126
1997,January,VIC,Various +,Normal Arrangements PBS,12581,690249
1997,January,VIC,Various +,Normal Arrangements RPBS,3004,100985
1997,January,VIC,Other ++,Normal Arrangements PBS,11390,97260
1997,January,VIC,Other ++,Normal Arrangements RPBS,1442,28616
1997,January,QLD,Alimentary Tract and Metabolism,Normal Arrangements PBS,243316,7426647
1997,January,QLD,Alimentary Tract and Metabolism,Normal Arrangements RPBS,26791,742562
1997,January,QLD,Blood and Blood Forming Organs,Normal Arrangements PBS,39041,318849
1997,January,QLD,Blood and Blood Forming Organs,Normal Arrangements RPBS,5887,55564
1997,January,QLD,Cardiovascular System,Normal Arrangements PBS,462169,10759172
1997,January,QLD,Cardiovascular System,Normal Arrangements RPBS,37827,885143
1997,January,QLD,Dermatologicals,Normal Arrangements PBS,54449,779974
1997,January,QLD,Dermatologicals,Normal Arrangements RPBS,9791,104373
1997,January,QLD,Genito Urinary System and Sex Hormones,Normal Arrangements PBS,110122,1346380
1997,January,QLD,Genito Urinary System and Sex Hormones,Normal Arrangements RPBS,2742,57676
1997,January,QLD,"Systemic Hormonal Preparations, excl. Sex Hormones",Normal Arrangements PBS,30335,273282
1997,January,QLD,"Systemic Hormonal Preparations, excl. Sex Hormones",Normal Arrangements RPBS,2523,25568
1997,January,QLD,General Anti-Infectives for Systemic Use,Normal Arrangements PBS,170764,2594204
1997,January,QLD,General Anti-Infectives for Systemic Use,Normal Arrangements RPBS,7664,138015
1997,January,QLD,Anti-Neoplastic and Immunomodulating Agents,Normal Arrangements PBS,8703,1440020
1997,January,QLD,Anti-Neoplastic and Immunomodulating Agents,Normal Arrangements RPBS,730,169104
1997,January,QLD,Musculo-Skeletal System,Normal Arrangements PBS,92357,1037844
1997,January,QLD,Musculo-Skeletal System,Normal Arrangements RPBS,8785,100335
1997,January,QLD,Nervous System,Normal Arrangements PBS,371452,5160110
1997,January,QLD,Nervous System,Normal Arrangements RPBS,32806,397941
1997,January,QLD,Anti-Parasitic Products,Normal Arrangements PBS,10472,89894
1997,January,QLD,Anti-Parasitic Products,Normal Arrangements RPBS,1458,12859
1997,January,QLD,Respiratory System,Normal Arrangements PBS,172399,3880494
1997,January,QLD,Respiratory System,Normal Arrangements RPBS,15736,445169
1997,January,QLD,Sensory Organs,Normal Arrangements PBS,93240,851997
1997,January,QLD,Sensory Organs,Normal Arrangements RPBS,11074,114787
1997,January,QLD,Various +,Normal Arrangements PBS,8668,484335
1997,January,QLD,Various +,Normal Arrangements RPBS,2426,72734
1997,January,QLD,Other ++,Normal Arrangements PBS,7694,62385
1997,January,QLD,Other ++,Normal Arrangements RPBS,1696,32961
1997,January,SA,Alimentary Tract and Metabolism,Normal Arrangements PBS,125113,3717369
1997,January,SA,Alimentary Tract and Metabolism,Normal Arrangements RPBS,9351,243555
1997,January,SA,Blood and Blood Forming Organs,Normal Arrangements PBS,21918,156404
1997,January,SA,Blood and Blood Forming Organs,Normal Arrangements RPBS,2415,17752
1997,January,SA,Cardiovascular System,Normal Arrangements PBS,243929,5769533
1997,January,SA,Cardiovascular System,Normal Arrangements RPBS,14247,326838
1997,January,SA,Dermatologicals,Normal Arrangements PBS,29163,411748
1997,January,SA,Dermatologicals,Normal Arrangements RPBS,2893,29533
1997,January,SA,Genito Urinary System and Sex Hormones,Normal Arrangements PBS,58455,709953
1997,January,SA,Genito Urinary System and Sex Hormones,Normal Arrangements RPBS,949,19433
1997,January,SA,"Systemic Hormonal Preparations, excl. Sex Hormones",Normal Arrangements PBS,14460,125191
1997,January,SA,"Systemic Hormonal Preparations, excl. Sex Hormones",Normal Arrangements RPBS,842,6781
1997,January,SA,General Anti-Infectives for Systemic Use,Normal Arrangements PBS,79263,1031505
1997,January,SA,General Anti-Infectives for Systemic Use,Normal Arrangements RPBS,2080,27118
1997,January,SA,Anti-Neoplastic and Immunomodulating Agents,Normal Arrangements PBS,4956,827104
1997,January,SA,Anti-Neoplastic and Immunomodulating Agents,Normal Arrangements RPBS,302,69679
1997,January,SA,Musculo-Skeletal System,Normal Arrangements PBS,47425,560181
1997,January,SA,Musculo-Skeletal System,Normal Arrangements RPBS,3216,36682
1997,January,SA,Nervous System,Normal Arrangements PBS,187086,2531651
1997,January,SA,Nervous System,Normal Arrangements RPBS,10357,111493
1997,January,SA,Anti-Parasitic Products,Normal Arrangements PBS,5155,43793
1997,January,SA,Anti-Parasitic Products,Normal Arrangements RPBS,546,4696
1997,January,SA,Respiratory System,Normal Arrangements PBS,82990,1792959
1997,January,SA,Respiratory System,Normal Arrangements RPBS,5839,164109
1997,January,SA,Sensory Organs,Normal Arrangements PBS,46696,439105
1997,January,SA,Sensory Organs,Normal Arrangements RPBS,3923,39834
1997,January,SA,Various +,Normal Arrangements PBS,3929,218927
1997,January,SA,Various +,Normal Arrangements RPBS,478,13872
1997,January,SA,Other ++,Normal Arrangements PBS,4516,39670
1997,January,SA,Other ++,Normal Arrangements RPBS,517,11235
1997,January,WA,Alimentary Tract and Metabolism,Normal Arrangements PBS,113738,3424472
1997,January,WA,Alimentary Tract and Metabolism,Normal Arrangements RPBS,7989,206295
1997,January,WA,Blood and Blood Forming Organs,Normal Arrangements PBS,25117,168157
1997,January,WA,Blood and Blood Forming Organs,Normal Arrangements RPBS,2157,13956
1997,January,WA,Cardiovascular System,Normal Arrangements PBS,226612,5438078
1997,January,WA,Cardiovascular System,Normal Arrangements RPBS,11813,282526
1997,January,WA,Dermatologicals,Normal Arrangements PBS,25521,452273
1997,January,WA,Dermatologicals,Normal Arrangements RPBS,3027,31444
1997,January,WA,Genito Urinary System and Sex Hormones,Normal Arrangements PBS,54626,657492
1997,January,WA,Genito Urinary System and Sex Hormones,Normal Arrangements RPBS,788,16632
1997,January,WA,"Systemic Hormonal Preparations, excl. Sex Hormones",Normal Arrangements PBS,13823,122629
1997,January,WA,"Systemic Hormonal Preparations, excl. Sex Hormones",Normal Arrangements RPBS,649,5276
1997,January,WA,General Anti-Infectives for Systemic Use,Normal Arrangements PBS,77183,1172615
1997,January,WA,General Anti-Infectives for Systemic Use,Normal Arrangements RPBS,2051,31219
1997,January,WA,Anti-Neoplastic and Immunomodulating Agents,Normal Arrangements PBS,4881,884294
1997,January,WA,Anti-Neoplastic and Immunomodulating Agents,Normal Arrangements RPBS,380,104395
1997,January,WA,Musculo-Skeletal System,Normal Arrangements PBS,50088,571407
1997,January,WA,Musculo-Skeletal System,Normal Arrangements RPBS,3589,41009
1997,January,WA,Nervous System,Normal Arrangements PBS,173270,2559840
1997,January,WA,Nervous System,Normal Arrangements RPBS,9531,116134
1997,January,WA,Anti-Parasitic Products,Normal Arrangements PBS,5362,45287
1997,January,WA,Anti-Parasitic Products,Normal Arrangements RPBS,540,4696
1997,January,WA,Respiratory System,Normal Arrangements PBS,72371,1463217
1997,January,WA,Respiratory System,Normal Arrangements RPBS,4705,116582
1997,January,WA,Sensory Organs,Normal Arrangements PBS,43742,398377
1997,January,WA,Sensory Organs,Normal Arrangements RPBS,3754,37937
1997,January,WA,Various +,Normal Arrangements PBS,2925,171428
